base,layer,head,delta_induction
50M,0,0,-0.0003142058849334717
50M,0,1,0.001448318362236023
50M,0,2,0.002049483358860016
50M,0,3,0.003099218010902405
50M,0,4,-0.00031957030296325684
50M,0,5,0.0023532360792160034
50M,0,6,0.0025245994329452515
50M,0,7,0.0025125592947006226
50M,0,8,0.005808375775814056
50M,0,9,0.000948593020439148
50M,0,10,-0.0015687942504882812
50M,0,11,0.0027347952127456665
50M,1,0,-0.0006340146064758301
50M,1,1,0.004617154598236084
50M,1,2,-0.01514945924282074
50M,1,3,-0.02668699622154236
50M,1,4,-0.011367768049240112
50M,1,5,0.0066894590854644775
50M,1,6,0.0037921518087387085
50M,1,7,-0.00021334365010261536
50M,1,8,-0.013508953154087067
50M,1,9,0.0002356991171836853
50M,1,10,-0.006788760423660278
50M,1,11,0.0005409568548202515
50M,2,0,0.016123086214065552
50M,2,1,-0.01267220824956894
50M,2,2,0.0019533932209014893
50M,2,3,0.02045920491218567
50M,2,4,-0.0023639053106307983
50M,2,5,0.015586450695991516
50M,2,6,0.016244374215602875
50M,2,7,0.008399751037359238
50M,2,8,0.004374995827674866
50M,2,9,0.018350042402744293
50M,2,10,0.005521789193153381
50M,2,11,0.008637383580207825
50M,3,0,0.01587769389152527
50M,3,1,0.018155202269554138
50M,3,2,-0.0025161653757095337
50M,3,3,0.01053640991449356
50M,3,4,0.003473341464996338
50M,3,5,-0.009197652339935303
50M,3,6,0.00014762859791517258
50M,3,7,0.0003228038549423218
50M,3,8,-0.013038918375968933
50M,3,9,0.01417253166437149
50M,3,10,0.013397812843322754
50M,3,11,-0.0004928484559059143
50M,4,0,-0.00045768171548843384
50M,4,1,0.002282358705997467
50M,4,2,0.0020981812849640846
50M,4,3,0.016257941722869873
50M,4,4,-0.0006411820650100708
50M,4,5,0.00697680190205574
50M,4,6,-0.0395440012216568
50M,4,7,0.029332682490348816
50M,4,8,0.009814083576202393
50M,4,9,0.004788801074028015
50M,4,10,0.0037111304700374603
50M,4,11,0.016388677060604095
50M,5,0,0.0311572328209877
50M,5,1,0.01451060175895691
50M,5,2,0.01923501491546631
50M,5,3,0.020841442048549652
50M,5,4,0.00937015563249588
50M,5,5,0.033285245299339294
50M,5,6,0.013924766331911087
50M,5,7,0.012309201061725616
50M,5,8,0.04059543460607529
50M,5,9,0.011274531483650208
50M,5,10,-3.306567668914795e-05
50M,5,11,-0.014332316815853119
50M,6,0,0.00599365308880806
50M,6,1,-0.008016601204872131
50M,6,2,0.027456313371658325
50M,6,3,0.04434484243392944
50M,6,4,0.026570551097393036
50M,6,5,0.04348091781139374
50M,6,6,0.007050827145576477
50M,6,7,0.019665077328681946
50M,6,8,0.011515375226736069
50M,6,9,0.06278149783611298
50M,6,10,0.0069702863693237305
50M,6,11,0.010984927415847778
50M,7,0,0.010885404422879219
50M,7,1,0.00033936044201254845
50M,7,2,-0.006406586617231369
50M,7,3,0.04460746794939041
50M,7,4,0.05149802565574646
50M,7,5,0.01858758181333542
50M,7,6,0.029890716075897217
50M,7,7,-0.0001785755157470703
50M,7,8,0.02230679802596569
50M,7,9,0.056872472167015076
50M,7,10,-0.0008358806371688843
50M,7,11,0.0007805675268173218
50M,8,0,0.00026491284370422363
50M,8,1,-0.03419212996959686
50M,8,2,-0.015306740999221802
50M,8,3,0.006519407033920288
50M,8,4,0.028867602348327637
50M,8,5,0.0045507848262786865
50M,8,6,-0.010907016694545746
50M,8,7,-0.009905904531478882
50M,8,8,0.0002870578318834305
50M,8,9,-0.018204152584075928
50M,8,10,0.014534484595060349
50M,8,11,0.041801780462265015
50M,9,0,0.007329180836677551
50M,9,1,0.0055157095193862915
50M,9,2,-0.0008617732673883438
50M,9,3,0.026709169149398804
50M,9,4,0.0018655750900506973
50M,9,5,0.004350196570158005
50M,9,6,0.04436953365802765
50M,9,7,-0.0031551122665405273
50M,9,8,0.01983916014432907
50M,9,9,0.031019970774650574
50M,9,10,0.002845022827386856
50M,9,11,-0.007545068860054016
50M,10,0,-0.02800845354795456
50M,10,1,-0.012033417820930481
50M,10,2,-0.001127772033214569
50M,10,3,-0.01031550019979477
50M,10,4,-0.02740970253944397
50M,10,5,0.007997173815965652
50M,10,6,0.01091158390045166
50M,10,7,-0.020228683948516846
50M,10,8,-0.12263169884681702
50M,10,9,-0.010402984917163849
50M,10,10,0.026248037815093994
50M,10,11,9.259581565856934e-05
50M,11,0,0.017903387546539307
50M,11,1,0.001220259233377874
50M,11,2,-0.007291235029697418
50M,11,3,0.00041728653013706207
50M,11,4,0.011774897575378418
50M,11,5,0.02057752013206482
50M,11,6,-0.033968910574913025
50M,11,7,-0.005765154957771301
50M,11,8,0.00577053427696228
50M,11,9,-0.01577623188495636
50M,11,10,-0.0116976797580719
50M,11,11,-0.00022961944341659546
200M,0,0,0.0003802552819252014
200M,0,1,0.0006678253412246704
200M,0,2,-0.0007157586514949799
200M,0,3,-0.0001401752233505249
200M,0,4,0.0006969049572944641
200M,0,5,0.0007261112332344055
200M,0,6,0.0017650872468948364
200M,0,7,8.560717105865479e-06
200M,0,8,-0.0004696287214756012
200M,0,9,6.756186485290527e-05
200M,0,10,-0.0007475912570953369
200M,0,11,0.001008547842502594
200M,1,0,0.0045799389481544495
200M,1,1,-0.0019086524844169617
200M,1,2,-0.004163220524787903
200M,1,3,0.004051864147186279
200M,1,4,-0.0006528981029987335
200M,1,5,-0.006991758942604065
200M,1,6,-0.0009668655693531036
200M,1,7,0.0011739879846572876
200M,1,8,-0.0014076828956604004
200M,1,9,0.005716044455766678
200M,1,10,0.0036584213376045227
200M,1,11,-0.005801878869533539
200M,2,0,5.983375012874603e-05
200M,2,1,0.008404552936553955
200M,2,2,0.0004478283226490021
200M,2,3,0.011691085994243622
200M,2,4,0.0037451721727848053
200M,2,5,-0.011222898960113525
200M,2,6,0.00603824108839035
200M,2,7,0.005958586931228638
200M,2,8,-0.010867461562156677
200M,2,9,0.006758138537406921
200M,2,10,-0.0024746619164943695
200M,2,11,0.0028189755976200104
200M,3,0,-0.0012466907501220703
200M,3,1,-0.0029278546571731567
200M,3,2,0.017277821898460388
200M,3,3,-0.0007866965606808662
200M,3,4,0.006852492690086365
200M,3,5,0.0011520236730575562
200M,3,6,-0.0006158109754323959
200M,3,7,0.007273241877555847
200M,3,8,0.0018520466983318329
200M,3,9,-0.000627933070063591
200M,3,10,0.00039411336183547974
200M,3,11,-0.001865886151790619
200M,4,0,0.009944647550582886
200M,4,1,0.012395799160003662
200M,4,2,4.842405905947089e-05
200M,4,3,0.008927561342716217
200M,4,4,0.0007830783724784851
200M,4,5,0.006052058190107346
200M,4,6,0.01314002275466919
200M,4,7,0.01556389033794403
200M,4,8,-0.006078533828258514
200M,4,9,-0.01356332004070282
200M,4,10,0.006578169763088226
200M,4,11,0.0018813908100128174
200M,5,0,0.002167981117963791
200M,5,1,0.006429716944694519
200M,5,2,0.001470157876610756
200M,5,3,-0.0009175147861242294
200M,5,4,-0.026565000414848328
200M,5,5,0.0013695470988750458
200M,5,6,0.0022256597876548767
200M,5,7,0.005549632012844086
200M,5,8,1.5328405424952507e-06
200M,5,9,2.238154411315918e-05
200M,5,10,-0.003371506929397583
200M,5,11,0.002852238714694977
200M,6,0,0.0033036768436431885
200M,6,1,0.002034597098827362
200M,6,2,-0.01898247003555298
200M,6,3,0.018897920846939087
200M,6,4,0.02627098560333252
200M,6,5,0.01458740234375
200M,6,6,0.008175268769264221
200M,6,7,7.239187834784389e-05
200M,6,8,0.01035211980342865
200M,6,9,0.010976254940032959
200M,6,10,0.0008906051516532898
200M,6,11,0.0014872383326292038
200M,7,0,0.010606169700622559
200M,7,1,9.197450708597898e-06
200M,7,2,-0.0027713607996702194
200M,7,3,-0.0019346103072166443
200M,7,4,0.0030447542667388916
200M,7,5,0.005967613309621811
200M,7,6,-0.024610042572021484
200M,7,7,0.001413196325302124
200M,7,8,0.0023683086037635803
200M,7,9,-0.0007971525192260742
200M,7,10,-0.00047133490443229675
200M,7,11,0.010744042694568634
200M,8,0,-0.023039281368255615
200M,8,1,0.0015512406826019287
200M,8,2,0.0009397156536579132
200M,8,3,-0.038791537284851074
200M,8,4,-0.0030393749475479126
200M,8,5,0.009312290698289871
200M,8,6,0.004859317094087601
200M,8,7,0.005434475839138031
200M,8,8,1.4488892702502199e-05
200M,8,9,-0.005886010825634003
200M,8,10,0.002223838120698929
200M,8,11,0.015721306204795837
200M,9,0,0.01932382583618164
200M,9,1,-0.010292388498783112
200M,9,2,0.005941964685916901
200M,9,3,-0.0025480613112449646
200M,9,4,-0.00026714056730270386
200M,9,5,-0.0004291469231247902
200M,9,6,0.007442593574523926
200M,9,7,0.00902324914932251
200M,9,8,0.006335310637950897
200M,9,9,0.0013630911707878113
200M,9,10,-0.02037757635116577
200M,9,11,0.0018449127674102783
200M,10,0,-0.029452763497829437
200M,10,1,-0.014477219432592392
200M,10,2,-0.033816903829574585
200M,10,3,-0.012130647897720337
200M,10,4,-0.0033719614148139954
200M,10,5,-0.00608881376683712
200M,10,6,0.003739669919013977
200M,10,7,-0.0219523087143898
200M,10,8,-0.009126782417297363
200M,10,9,-0.02111859619617462
200M,10,10,-0.0027353689074516296
200M,10,11,-0.009213462471961975
200M,11,0,-0.02478310465812683
200M,11,1,0.012788075953722
200M,11,2,0.0014314204454421997
200M,11,3,-0.012309268116950989
200M,11,4,0.004714742302894592
200M,11,5,0.0013503730297088623
200M,11,6,-0.012326985597610474
200M,11,7,-0.02724599838256836
200M,11,8,-0.015177235007286072
200M,11,9,0.011612877249717712
200M,11,10,-0.005869567394256592
200M,11,11,-0.002115592360496521
